city,practice_name,address,phone,email
Amsterdam,Huisarts Integraal,Willemsstraat 124 1015 JE Amsterdam,020-4207755,
Amsterdam,Huisarts aan de Herengracht,Herengracht 278 B 1016 BX Amsterdam,020-5247070,
Amsterdam,Huisarts aan het Park,Ekingenstraat 23 1069 DA Amsterdam,020-6191815,
Amsterdam,"Huisartsen Bankwerkerij, Praktijk Mennink &amp; ter Horst",Bankwerkerij 89 1021 NT Amsterdam,020-6360367,
Amsterdam,Huisartsen Ganzenhoef,Bijlmerdreef 1071 1103 TT Amsterdam,020-2352121,
Amsterdam,Huisartsen Gaymans &amp; Hylkema,Dufaystraat 19 1075 GS Amsterdam,020-6730510,
Amsterdam,Huisartsen Heemstedestraat,Heemstedestraat 46 HS 1058 NN Amsterdam,020-6152537,
Amsterdam,Huisartsen Marktkwartier,Jan van Galenstraat 76 H 1056 CC Amsterdam,020-6847314,
Amsterdam,Huisartsen om de Hoek,Bremstraat 5 1031 EK Amsterdam,020-6360630,
Amsterdam,Huisartsen Sarphatipark,Sarphatipark 28 1072 PB Amsterdam,020-6629371,
Amsterdam,Huisartsen Scheldestraat,Scheldestraat 27 1078 GE Amsterdam,020-6462600,
Amsterdam,Huisartsen Sloterdijk,Radarweg 250 1043 NV Amsterdam,020-2090239,
Amsterdam,"Huisartsen Tuindorp-Nieuwendam, De Haas, Ras &amp; Zwarts",Avenhornstraat 41 1023 TR Amsterdam,020-6374747,
Amsterdam,"Huisartsen Tuindorp-Nieuwendam, Jongen en Bartelsman",Avenhornstraat 41 1023 TR Amsterdam,020-6360694,
Amsterdam,Huisartsen Valeriusplein,Valeriusplein 40 Hs 1075 BJ Amsterdam,020-6621888,
Amsterdam,Huisartsen Van Baerle,Van Baerlestraat 57 sous 1071 AR Amsterdam,020-6627125,
Amsterdam,Huisartsen Vrolikstraat,Vrolikstraat 191 E 1091 TW Amsterdam,020-6938577,
Amsterdam,Huisartsen Westerpark,De Wittenkade 59 1052 AD Amsterdam,020-6843679,
Amsterdam,Huisartsencentrum Pniël,Bos en Lommerweg 189 1055 DT Amsterdam,020-6868696,
Amsterdam,huisartsenpraktijk A.F.Sluis,Tweede Oosterparkstraat 274 D 1092 BV Amsterdam,020-6650927,
Amsterdam,Huisartsenpraktijk A.R. Robbers,Singel 108 1015 AD Amsterdam,020-6262642,
Amsterdam,Huisartsenpraktijk A&#039;dam Doctors,Spuistraat 239 C 1012 VP Amsterdam,020-8100100,
Amsterdam,Huisartsenpraktijk Admiralengracht,Admiralengracht 110 1057 GE Amsterdam,020-6167457,
Amsterdam,Huisartsenpraktijk Alhoda,Ottho Heldringstraat 17 B 1066 XT Amsterdam,020-3880270,
Amsterdam,Huisartsenpraktijk Amsteldijk,Amsteldijk 154 1079 LG Amsterdam,020-6448400,
Amsterdam,Huisartsenpraktijk Amsteldorp,Middelhoffstraat 4 1097 NK Amsterdam,020-6657563,
Amsterdam,Huisartsenpraktijk Amstelkade,Amstelkade 156 1078 AW Amsterdam,020-6629845,
Amsterdam,Huisartsenpraktijk Amstelveld,Prinsengracht 762 1017 LD Amsterdam,020-6227881,
Amsterdam,Huisartsenpraktijk Amsterdam Noord,Beverwijkstraat 9 C 1024 VR Amsterdam,020-4940229,
Amsterdam,Huisartsenpraktijk Amsterdam west,Nolensstraat 358 D 1067 KP Amsterdam,020-4489560,
Amsterdam,Huisartsenpraktijk Antarus,Meteorensingel 35 1033 CB Amsterdam,020-6315280,
Amsterdam,Huisartsenpraktijk Avecinna,Bijlmerdreef 1008 1103 JT Amsterdam,020- 2105555,
Amsterdam,Huisartsenpraktijk Averroes,Confuciusplein 95 1064 LG Amsterdam,020-6130099,
Amsterdam,Huisartsenpraktijk Bellamyplein,Bellamyplein 2 1053 AS Amsterdam,020-6182131,
Amsterdam,Huisartsenpraktijk Besara aan &#039;t IJ,Motorwal 280 1021 PH Amsterdam,020-6360139,
Amsterdam,Huisartsenpraktijk Betondorp,Brinkstraat 84 1097 VP Amsterdam,020-6652862,
Amsterdam,Huisartsenpraktijk Bloemgracht,Lijnbaansgracht 99 1015 GZ Amsterdam,020-6236182,
Amsterdam,Huisartsenpraktijk Bonaire,Bonairestraat 1 1058 XC Amsterdam,020-6183828,
Amsterdam,Huisartsenpraktijk Bos en Lommer,Bos en Lommerplein 73 B 1055 AD Amsterdam,020-6847706,
Amsterdam,Huisartsenpraktijk Boven Oost,Tweede Oosterparkstraat 274 P 1092 BV Amsterdam,020-6650221,
Amsterdam,Huisartsenpraktijk Buikslotermeer,Loenermark 777 A 1025 VM Amsterdam,020-4945030,
Amsterdam,Huisartsenpraktijk Busser en Leeuw,Nolensstraat 358 C 1067 KP Amsterdam,020-4489510,
Amsterdam,Huisartsenpraktijk Camper,Camperstraat 1 1091 AD Amsterdam,020-6650605,
Amsterdam,Huisartsenpraktijk Central Doctors,De Ruijterkade 24 A 1012 AA Amsterdam,06-27235380,
Amsterdam,"Huisartsenpraktijk Confucius, Praktijk Courant",Confuciusplein 37 1064 LG Amsterdam,020-6130110,
Amsterdam,"Huisartsenpraktijk Confucius, Praktijk Elsas / Hoekstra",Confuciusplein 37 1064 LG Amsterdam,020-6130083,
Amsterdam,Huisartsenpraktijk D. Valckenier,Nieuwe Achtergracht 100 1018 WT Amsterdam,020-5559427,
Amsterdam,Huisartsenpraktijk D.E. Mulder,Slotermeerlaan 105 F 1063 JN Amsterdam,020-6131717,
Amsterdam,Huisartsenpraktijk Dapperbuurt,Wagenaarstraat 437 1093 CN Amsterdam,020-6651411,
Amsterdam,Huisartsenpraktijk de Admiraal,Admiraal De Ruijterweg 215 A 1056 GH Amsterdam,020-6121412,
Amsterdam,Huisartsenpraktijk de Buitenhof,Eerste Oosterparkstraat 279 1091 HA Amsterdam,020-5994555,
Amsterdam,"Huisartsenpraktijk De Grote Rivieren, Praktijk Touber / Haeck",Maasstraat 167 1079 BG Amsterdam,020-5400188,
Amsterdam,"Huisartsenpraktijk De Grote Rivieren, Praktijk W.B. van Duijn",Maasstraat 167 1079 BG Amsterdam,020-5400188,
Amsterdam,Huisartsenpraktijk de Hoed,Admiraal de Ruijterweg 134 1056 GT Amsterdam,020-6183878,
Amsterdam,Huisartsenpraktijk De Kadoelerbreek,Banne Buikslootlaan 133 1034 AC Amsterdam,020-6333312,
Amsterdam,Huisartsenpraktijk De Lairesse,De Lairessestraat 42 1071 PB Amsterdam,020-6182560,
Amsterdam,Huisartsenpraktijk de Makroon,Nieuwe Passeerdersstraat 8 1016 XP Amsterdam,020-2373650,
Amsterdam,Huisartsenpraktijk De Plantage,Plantage Middenlaan 70 1018 DH Amsterdam,020-6224748,
Amsterdam,Huisartsenpraktijk de Wetering,Derde Weteringdwarsstraat 6 1017 TC Amsterdam,020-3446393,
Amsterdam,Huisartsenpraktijk de Witte Kaap,F Dietrich Kahlenbergstr 262 1087 LL Amsterdam,020-3085880,
Amsterdam,Huisartsenpraktijk de Zomerlinde,Korte Lepelstraat 91 H 1018 ZA Amsterdam,06-34140883,
Amsterdam,Huisartsenpraktijk Delflandplein,Rijswijkstraat 10 1062 EE Amsterdam,020-6150737,
Amsterdam,huisartsenpraktijk doccs Amsterdam Amstel III,Posbankpad 2 1105 AV Amsterdam,020-2184456,
Amsterdam,Huisartsenpraktijk doccs Amsterdam Slotervaart,Louwesweg 6 1066 EC Amsterdam,020-2184455,
Amsterdam,Huisartsenpraktijk Drijber &amp; Sol,Kuipersstraat 151 A 1073 ER Amsterdam,020-6645537,
Amsterdam,Huisartsenpraktijk Duindoornplein,Duindoornplein 27 1032 CL Amsterdam,020-6360650,
Amsterdam,Huisartsenpraktijk Daalwijk,Daalwijk 14 1102 AA Amsterdam,020-3620683,
Amsterdam,Huisartsenpraktijk E. Bajramova,Pieter Calandlaan 101 1065 KK Amsterdam,020-6152999,
Amsterdam,Huisartsenpraktijk Elzenhagen,Loenermark 162-164 1025 SP Amsterdam,020-2273122,
Amsterdam,Huisartsenpraktijk F.H. Hartmann,Dufaystraat 19 1075 GS Amsterdam,020-6737501,
Amsterdam,Huisartsenpraktijk Fijnhout,Lootsstraat 35 1053 NV Amsterdam,020-6187687,
Amsterdam,Huisartsenpraktijk Frankendael,James Wattstraat 68 H 1097 DM Amsterdam,020-4650924,
Amsterdam,Huisartsenpraktijk Frans Halsstraat,Frans Halsstraat 60 1072 BT Amsterdam,020-6739091,
Amsterdam,Huisartsenpraktijk Franssen - Wijsmuller,Kuipersstraat 151 A 1073 ER Amsterdam,020-6713389,
Amsterdam,Huisartsenpraktijk Gilani &amp; Slooter,Burgemeester de Vlugtlaan 115 1063 BJ Amsterdam,020-6131141,
Amsterdam,Huisartsenpraktijk Goede,Tweede Oosterparkstraat 274 N 1092 BV Amsterdam,020-6655785,
Amsterdam,Huisartsenpraktijk Günther,Parnassusweg 207 1077 DG Amsterdam,020-6798306,
Amsterdam,Huisartsenpraktijk Hauser &amp; Aalders,Overtoom 174 1054 HR Amsterdam,020-6182056,
Amsterdam,Huisartsenpraktijk Heijnen,Koestraat 5 A 1012 BW Amsterdam,020-6227471,
Amsterdam,Huisartsenpraktijk Heimansweg,Heimansweg 21 1031 TX Amsterdam,020-6360101,
Amsterdam,Huisartsenpraktijk Herengracht,Herengracht 160-162 1016 BN Amsterdam,020-6237996,
Amsterdam,Huisartsenpraktijk Heun,Bijlmerdreef 657 1102 RP Amsterdam,020-6912361,
Amsterdam,Huisartsenpraktijk Hezemans,Lijnbaansgracht 99 1015 GZ Amsterdam,020-6230841,
Amsterdam,Huisartsenpraktijk Hogeweg,Hogeweg 50 1098 CE Amsterdam,020-6653893,
Amsterdam,Huisartsenpraktijk Holtrop en Westermann,&#039;s-Gravesandeplein 19 1091 BB Amsterdam,020-4626672,
Amsterdam,Huisartsenpraktijk Hoofdweg 366,Hoofdweg 366 H 1056 DD Amsterdam,020-6183207,
Amsterdam,Huisartsenpraktijk Hygieaplein,Hygieaplein 44 Hs 1076 RW Amsterdam,020-4709799,
Amsterdam,Huisartsenpraktijk Haarlemmerpoort,Van Limburg Stirumstraat 20 A 1051 BB Amsterdam,020-6840133,
Amsterdam,Huisartsenpraktijk IJburg,Erich Salomonstraat 326 1087 GZ Amsterdam,020-7608959,
Amsterdam,Huisartsenpraktijk Jan Toorop,Marius Bauerstraat 233 C 1062 AK Amsterdam,020-6134616,
Amsterdam,Huisartsenpraktijk Jiawan,Insulindeweg 52 1094 PM Amsterdam,020-6651179,
Amsterdam,Huisartsenpraktijk Kalkmarkt,Kalkmarkt 8 1011 BD Amsterdam,020-6244600,
Amsterdam,Huisartsenpraktijk Kappeyne van de Coppello,Frederik Hendrikstraat 47 1052 HK Amsterdam,020-6845850,
Amsterdam,Huisartsenpraktijk Kastelenbuurt,Brittenburg 1 1082 BS Amsterdam,020-6420222,
Amsterdam,Huisartsenpraktijk Kelling en van der Cingel,Weteringschans 72 1017 XR Amsterdam,020-6387057,
Amsterdam,Huisartsenpraktijk Kerster,Bijlmerdreef 695 1102 RR Amsterdam,020-6990268,
Amsterdam,Huisartsenpraktijk Kruizinga en van Rooij,Berlaarstraat 201 1066 PL Amsterdam,020-6697444,
Amsterdam,Huisartsenpraktijk Kraaiennest,Kraaiennest 69 1104 CE Amsterdam,020-7507253,
Amsterdam,Huisartsenpraktijk Kwakersplein,Kwakersplein 10 1053 TZ Amsterdam,020-6187071,
Amsterdam,Huisartsenpraktijk Louwesweg,Louwesweg 6 1066 EC Amsterdam,020-6151564,
Amsterdam,Huisartsenpraktijk Lutmastraat,Lutmastraat 45 1072 JP Amsterdam,020-6790044,
Amsterdam,Huisartsenpraktijk MC Gelderlandplein,Arent Janszoon Ernststraat 599 1082 LD Amsterdam,020-6421909,
Amsterdam,Huisartsenpraktijk Meteorensingel,Meteorensingel 33 1033 CB Amsterdam,020-6310067,
Amsterdam,Huisartsenpraktijk Molenwijk,Molenwijk 18 1035 EG Amsterdam,020-6311156,
Amsterdam,Huisartsenpraktijk Nicolaas Witsenkade 13,Nicolaas Witsenkade 13 1017 ZR Amsterdam,020-6236614,
Amsterdam,Huisartsenpraktijk Nieuw West,Jan Tooropstraat 483 1061 AE Amsterdam,020-4110008,
Amsterdam,Huisartsenpraktijk Nijpels en Van Drooge,Mr. P.N. Arntzeniusweg 88 1098 GS Amsterdam,020-6658895,
Amsterdam,Huisartsenpraktijk Ookmeer,Notweg 30 A 1068 LL Amsterdam,020-6191811,
Amsterdam,Huisartsenpraktijk Oranje Nassaulaan,Oranje Nassaulaan 51 1075 AK Amsterdam,020-6621616,
Amsterdam,"Huisartsenpraktijk Oranje Nassaulaan, Praktijk H.W. van der Neut",Oranje Nassaulaan 51 1075 AK Amsterdam,020-6621616,
Amsterdam,Huisartsenpraktijk Orion,Orionplantsoen 1 A 1033 VG Amsterdam,020-6315351,
Amsterdam,Huisartsenpraktijk Oudemans,Sint Antoniesbreestraat 32 1011 HB Amsterdam,020-6246804,
Amsterdam,Huisartsenpraktijk P.M. Grannetia,Dufaystraat 19 1075 GS Amsterdam,020-6753701,
Amsterdam,Huisartsenpraktijk Parkplantsoen,Revaleiland 74 1014 ZG Amsterdam,020-6865486,
Amsterdam,Huisartsenpraktijk Plein 40-45,Slotermeerlaan 105 G 1063 JN Amsterdam,020-6130044,
Amsterdam,Huisartsenpraktijk Pos - E.A.B. Pos en I. Hovinga,Sam van Houtenstraat 1 C 1067 JA Amsterdam,020-4470087,
Amsterdam,Huisartsenpraktijk Postjesweg,Postjesweg 31 1057 DV Amsterdam,020-6188636,
Amsterdam,Huisartsenpraktijk R.A.J. Zwiers,Binnen Oranjestraat 12 1013 JA Amsterdam,020-3200281,
Amsterdam,Huisartsenpraktijk R.M. Foppen,Hoofdweg 307-309 HS 1057 CZ Amsterdam,020-6182004,
Amsterdam,Huisartsenpraktijk R.T.N. Oud,Merwedeplein 52 1078 NG Amsterdam,020-6642197,
Amsterdam,Huisartsenpraktijk Reguliersgracht,Reguliersgracht 78 C 1017 LV Amsterdam,020-3449247,
Amsterdam,Huisartsenpraktijk Rivierenbuurt,Waalstraat 58 1078 BX Amsterdam,020-6628636,
Amsterdam,Huisartsenpraktijk Rivierstaete,Trompenburgstraat 4 A 1079 TX Amsterdam,020-7235600,
Amsterdam,Huisartsenpraktijk Roelofsen,Insulindeweg 476 1094 MH Amsterdam,06-14656715,
Amsterdam,Huisartsenpraktijk Roest,Frederik Hendrikstraat 47 1052 HK Amsterdam,020-6840823,
Amsterdam,Huisartsenpraktijk Rustenburg,Rustenburgerstraat 144 D 1073 GJ Amsterdam,020-6790109,
Amsterdam,Huisartsenpraktijk S.M. Oei,Pieter Calandlaan 339 1068 NH Amsterdam,020-6194100,
Amsterdam,Huisartsenpraktijk S.M. Terborg,Dufaystraat 19 1075 GS Amsterdam,020-6737501,
Amsterdam,Huisartsenpraktijk Schellingwoude (Amsterdam-Noord),Schellingwouderdijk 240 1023 NL Amsterdam,020-4904231,
Amsterdam,Huisartsenpraktijk Schinkelkade,Schinkelkade 18 1075 VG Amsterdam,020-6730821,
Amsterdam,Huisartsenpraktijk Schoorlemmer,Hoogoord 234 1102 CM Amsterdam,020-6960487,
Amsterdam,Huisartsenpraktijk Schulte Amsterdam,Nicolaas Maesstraat 43 H 1071 PN Amsterdam,020-6710054,
Amsterdam,Huisartsenpraktijk Slotervaart,Marius Bauerstraat 233 C 1062 AK Amsterdam,020-6155926,
Amsterdam,Huisartsenpraktijk Spaarndammerbuurt,Spaarndammerstraat 73 H 1013 TB Amsterdam,020-6828996,
Amsterdam,Huisartsenpraktijk Sumatra,Sumatrastraat 84 1094 NJ Amsterdam,,
Amsterdam,Huisartsenpraktijk Swart,Pascalstraat 10 Hs 1098 PB Amsterdam,020-4631040,
Amsterdam,Huisartsenpraktijk Swart en Pennings,Palembangstraat 52 1094 TK Amsterdam,020-6655455,
Amsterdam,Huisartsenpraktijk Tabak,Tweede Oosterparkstraat 274 E 1092 BV Amsterdam,020-6923553,
Amsterdam,Huisartsenpraktijk ten Hove en de Jong,Tweede Oosterparkstraat 274 F 1092 BV Amsterdam,020-6650285,
Amsterdam,Huisartsenpraktijk Trompenburg,Trompenburgstraat 115 1079 TV Amsterdam,020-4421202,
Amsterdam,Huisartsenpraktijk Tussenmeer,Tussen Meer 86 1069 DS Amsterdam,020-3670088,
Amsterdam,Huisartsenpraktijk Ubbens en Statius Muller,Kuipersstraat 151 A 1073 ER Amsterdam,020-6795762,
Amsterdam,Huisartsenpraktijk Umans-Mohan,S.F. van Oss-straat 52 1068 JL Amsterdam,020-6192525,
Amsterdam,Huisartsenpraktijk van Deutekom en Olthof,Dufaystraat 19 1075 GS Amsterdam,020-6129898,
Amsterdam,Huisartsenpraktijk van Eijkeren en van Heusden,Jacob van Lennepkade 7 1054 ZD Amsterdam,020-6182508,
Amsterdam,Huisartsenpraktijk Van Heerde,De Tourton Bruynsstraat 9 1063 XL Amsterdam,020-6131237,
Amsterdam,Huisartsenpraktijk Van Lennep en Meiland,Overtoom 174 1054 HR Amsterdam,020-6181204,
Amsterdam,Huisartsenpraktijk Van Londen en Van Moppes,&#039;s-Gravesandeplein 19 1091 BB Amsterdam,020-4626670,
Amsterdam,Huisartsenpraktijk van Urk,Laagte Kadijk 146 1018 ZD Amsterdam,020-6208074,
Amsterdam,Huisartsenpraktijk Vergeer &amp; De Koning,Hoofdweg 176 Hs 1057 DC Amsterdam,020-3034750,
Amsterdam,Huisartsenpraktijk Vrijheidslaan Amsterdam,Vrijheidslaan 24 Hs 1078 PK Amsterdam,020-6627967,
Amsterdam,Huisartsenpraktijk Vrolijk en De Vries,Gerard Terborgstraat 46 1071 TP Amsterdam,06-22460399,
Amsterdam,Huisartsenpraktijk W. Flapper,Sam van Houtenstraat 1 B 1067 JA Amsterdam,020-6131030,
Amsterdam,Huisartsenpraktijk Watergraafsmeer,Newtonstraat 44 1098 HE Amsterdam,020-6653166,
Amsterdam,"Huisartsenpraktijk Westerdokters, Locatie Korte Lepelstraat 91",Korte Lepelstraat 91 1018 ZA Amsterdam,020-2184190,
Amsterdam,"Huisartsenpraktijk Westerdokters, Locatie Silodam 232",Silodam 232 1013 AS Amsterdam,020-2184190,
Amsterdam,"Huisartsenpraktijk Westerdokters, Locatie Westerdok 720",Westerdok 720 1013 BV Amsterdam,020-2184190,
Amsterdam,Huisartsenpraktijk Westertoren,Westermarkt 2 1016 DK Amsterdam,020-4509919,
Amsterdam,Huisartsenpraktijk Yaylali,Hoofdweg 325 H 1056 CM Amsterdam,020-6189724,
Amsterdam,Huisartsenpraktijk Zahawi,Krimpertplein 32 1104 PH Amsterdam,020-6954492,
Amsterdam,"Huisartsenpraktijk Zeeburg, Praktijk A. Honig",Insulindeweg 476 1094 MH Amsterdam,020-6652055,
Amsterdam,"Huisartsenpraktijk Zeeburg, Praktijk E. Scheeve",Insulindeweg 476 1094 MH Amsterdam,020-6659828,
Amsterdam,"Huisartsenpraktijk Zeeburg, Praktijk Verduijn",Insulindeweg 476 1094 MH Amsterdam,020-6655735,
Amsterdam,Huisartsenpraktijk Zeeburgerdijk,Sumatrastraat 100 1094 NJ Amsterdam,020-6653104,
Amsterdam,Huisartsenpraktijk Zeeburgereiland,John Blankensteinstraat 1 A 1095 MB Amsterdam,020-2334231,
Amsterdam,Huisartsenpraktijk Zoakman,Osdorper Ban 92 1068 MK Amsterdam,020-6191819,
Amsterdam,Huisartsenpraktijk Zuid Oost,Florijn 5 A 1102 BA Amsterdam,020-6951569,
Amsterdam,Huisartsenpraktijk Zwaan,Nassaukade 136 1052 EE Amsterdam,020-6180915,
Amsterdam,Huisartsenpraktijk Zwaansvliet,Zwaansvliet 5 1081 AP Amsterdam,020-6420909,
Amsterdam,Huisartspraktijk B. Jongens,Cabralstraat 2 A 1057 CG Amsterdam,020-6182187,
Amsterdam,Huisartspraktijk Bos en Lommer Dokters,Reinaert de Vosstraat 25 1055 CL Amsterdam,020-6823867,
Amsterdam,Huisartspraktijk Brouwersgracht,Brouwersgracht 56 H 1013 GX Amsterdam,020-6247751,
Amsterdam,Huisartspraktijk drs. F. Ogbuli,Kleiburg 44 B 1104 EA Amsterdam,020-6002608,
Amsterdam,Huisartspraktijk Familia,Lekstraat 1 1079 EK Amsterdam,020-6642199,
Amsterdam,Huisartspraktijk Hoppenbrouwer,Loenermark 162 164 1025 SP Amsterdam,020-4940942,
Amsterdam,Huisartspraktijk Integraal,Willemsstraat 124 1015 JE Amsterdam,020-4207755,
Amsterdam,Huisartspraktijk J. van Andel,Amsteldijk 117 Hs 1078 RR Amsterdam,020-6712730,
Amsterdam,Huisartspraktijk Java-Eiland,Azartplein 45 47 1019 PA Amsterdam,020-4190133,
Amsterdam,Huisartspraktijk Land,Scheldestraat 33 1078 GE Amsterdam,020-4421513,
Amsterdam,Huisartspraktijk Lely,Derkinderenstraat 54 1062 BJ Amsterdam,020-6151822,
Amsterdam,Huisartspraktijk M.A. Windhausen,Buikslotermeerplein 243 1025 XC Amsterdam,020-4940925,
Amsterdam,Huisartspraktijk Oude Turfmarkt,Oude Turfmarkt 151 1012 GC Amsterdam,020-5252878,
Amsterdam,Huisartspraktijk Reuvekamp,Halmaheirastraat 3 1094 RD Amsterdam,020-6654961,
Amsterdam,Huisartspraktijk Ritz,Singel 261 1012 WG Amsterdam,020-6221321,
Amsterdam,Huisartspraktijk Sterringa,Nassaukade 310 1053 LR Amsterdam,020-6184542,
Amsterdam,Huisartspraktijk van Hasselt,Courbetstraat 34 1077 ZV Amsterdam,020-6640393,
Amsterdam,Huisartspraktijk Westlandgracht,Westlandgracht 91 1058 TR Amsterdam,020-6158287,
Amsterdam,Integrale Huisartsenpraktijk West,Witte de Withstraat 11 1057 XE Amsterdam,020-3892005,
Amsterdam,Khushi Huisartsenpraktijk,Huigenbos 29 1102 KA Amsterdam,020-6964861,
Amsterdam,"Lindendokters, huisartsen",Tweede Lindendwarsstraat 5 H 1015 LH Amsterdam,020-6254294,
Amsterdam,Linnaeus Medisch Centrum,Linnaeusstraat 27 A 1093 EE Amsterdam,020-6650355,
Amsterdam,Medisch Centrum Czaar Peter,Czaar Peterstraat 8 1018 PR Amsterdam,020-6224099,
Amsterdam,Medisch Centrum De Overkant,Bijlmerdreef 161-163 1102 BP Amsterdam,020-6908244,
Amsterdam,"Medisch Centrum Koornhorst, Huisartsen",Koornhorst 28-30 1104 JA Amsterdam,020-6952436,
Amsterdam,"Medisch Centrum Mediport, Huisartsenpraktijk Nooralishahi",Hoofdweg 506 1055 AB Amsterdam,020-6848670,
Amsterdam,"Medisch Centrum Mediport, Huisartsenpraktijk S. Ouchan",Hoofdweg 506 1055 AB Amsterdam,020-6846479,
Amsterdam,"Medisch Centrum Mediport, Onze Dokters Vos &amp; Hussein",Hoofdweg 506 1055 AB Amsterdam,020-5812920,
Amsterdam,"Medisch Centrum Roelof Hart, Huisartsenpraktijk Husmann",Gerard Terborgstraat 46 1071 TP Amsterdam,020-6622522,
Amsterdam,"Medisch Centrum Roelof Hart, Huisartsenpraktijk van Raalte",Gerard Terborgstraat 46 1071 TP Amsterdam,020-6714484,
Amsterdam,"Medisch Centrum Roelof Hart, Huisartsenpraktijk Vrolijk",Gerard Terborgstraat 44 46 1071 TP Amsterdam,020-6731337,
Amsterdam,"Medisch Centrum Roelof Hart, Huisartspraktijk W.B. Vermeulen",Gerard Terborgstraat 46 1071 TP Amsterdam,,
Amsterdam,Medisch Centrum Zorg &amp; Hoop,Kruitberg 1001 1104 CA Amsterdam,020-7507257,
Amsterdam,Medisch Kwartier,Revaleiland 74 1014 ZG Amsterdam,020-6237417,
Amsterdam,Noord Huisartsen - Doets &amp; van den Dungen,Wingerdweg 28 A 1031 CA Amsterdam,020-6360413,
Amsterdam,Osdorp Dokters,Pieter Calandlaan 86 1068 NP Amsterdam,020-6192111,
Amsterdam,"Praktijk de Oostkaap, Huisartsen",Oostelijke Handelskade 140 1019 BP Amsterdam,020-4193282,
Amsterdam,"Praktijk Jonker en Koetsier, Gezondheidscentrum Waterlandplein",Beverwijkstraat 9 C 1024 VR Amsterdam,020-6360086,
Amsterdam,Praktijk Molkenboer,Klinkerweg 71 1033 PK Amsterdam,020-2015544,
Amsterdam,Praktijk Noorderlingen,Spelderholt 169 1025 BM Amsterdam,020-6366866,
Amsterdam,Prinsengrachtpraktijk,Prinsengracht 83 1015 DN Amsterdam,020-6221115,
Amsterdam,Reigersbos Medical Center,Reigersbos 100 k 1107 ES Amsterdam,020-7371426,
Amsterdam,"SAG Gezondheidscentrum Banne Buiksloot, Huisartsen",Parlevinker 7 1034 PX Amsterdam,020-6319157,
Amsterdam,"SAG Gezondheidscentrum Borgerstraat, Huisartsen",Borgerstraat 86 1053 PW Amsterdam,020-6122696,
Amsterdam,"SAG Gezondheidscentrum De Keyzer, Huisartsen",Czaar Peterstraat 4 1018 PR Amsterdam,020-6269890,
Amsterdam,"SAG Gezondheidscentrum De Vaart, Huisartsen",A. Reitsmakade 34 1060 SZ Amsterdam,020-6676666,
